filepath,source,sample_rate
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/235a0369-156c-45eb-abcf-94f203c02f64.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/037/037145.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/7c29b9e6-2517-4e3a-811e-84d0e7b92c03.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/031/031999.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/083/083440.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/f1e90f00-d7f3-4446-a443-9962697e4f49.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/cfadfe91-8ed3-4690-83b5-2a7b8f40988e.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/701b6da2-d5c2-44b6-9c61-f802066858e7.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/0e948e45-37fb-47a1-b285-6c692ffd959f.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/f4894671-5792-452b-a1aa-442a3df13c2e.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/116/116723.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/029/029586.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/6adc551a-72b4-4a4a-8c1d-0517243cc243.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/11df06b0-0537-4d06-a54c-8b7339eab11b.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/147/147214.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/093/093015.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/c1f97bab-2a03-4741-9a88-0e2a4be2e28a.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/cb8ec40d-05ff-4929-826b-715fcc2ebbf7.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/c2c0077b-0a5d-45c5-b23d-4ff01ac4ecd9.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/043976c6-9ff5-47b7-9226-a92d9e1d71b5.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/19ea5043-2de4-4d41-bd89-76080d7f79c3.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/787f47e1-aee6-4369-a0f6-af587732da1a.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/048/048392.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/52cf8f8e-0610-4f31-80f6-3aba0884eebb.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/117/117210.mp3,Human,44100
/Volumes/QL SSD1/ai_human_music_data/Suno21k/archive/audio/24cc7ecb-584b-46fe-b26c-ab03e5855070.mp3,Suno,48000
/Volumes/QL SSD1/ai_human_music_data/humanFMA/archive/fma_medium/fma_medium/071/071230.mp3,Human,44100
